Date : 2024-05-08 00:11:00
Directory : /Users/pavel/Documents/react-landing
Total : 65 files,  30885 codes, 558 comments, 262 blanks, all 31705 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         12 |     24,197 |        481 |         57 |     24,735 |
| JSON               |          7 |      5,540 |          0 |          6 |      5,546 |
| TypeScript JSX     |         18 |        594 |         73 |        115 |        782 |
| CSS                |         10 |        356 |          0 |         59 |        415 |
| TypeScript         |         13 |        122 |          2 |         12 |        136 |
| JSON with Comments |          1 |         31 |          2 |          3 |         36 |
| Markdown           |          1 |         22 |          0 |          9 |         31 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| SQL                |          1 |          9 |          0 |          0 |          9 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         65 |     30,885 |        558 |        262 |     31,705 |
| client                                                                                            |         55 |     28,064 |        541 |        218 |     28,823 |
| client (Files)                                                                                    |          8 |      3,001 |          3 |         18 |      3,022 |
| client/.vite                                                                                      |          6 |     24,007 |        464 |         15 |     24,486 |
| client/.vite/deps                                                                                 |          6 |     24,007 |        464 |         15 |     24,486 |
| client/public                                                                                     |          1 |          1 |          0 |          0 |          1 |
| client/src                                                                                        |         40 |      1,055 |         74 |        185 |      1,314 |
| client/src (Files)                                                                                |          1 |          0 |          1 |          1 |          2 |
| client/src/app                                                                                    |          5 |        226 |          1 |         27 |        254 |
| client/src/app (Files)                                                                            |          1 |          9 |          0 |          3 |         12 |
| client/src/app/layouts                                                                            |          1 |        104 |          0 |         12 |        116 |
| client/src/app/providers                                                                          |          3 |        113 |          1 |         12 |        126 |
| client/src/app/providers (Files)                                                                  |          1 |        109 |          1 |         12 |        122 |
| client/src/app/providers/model                                                                    |          2 |          4 |          0 |          0 |          4 |
| client/src/features                                                                               |          4 |         77 |          0 |          7 |         84 |
| client/src/features/GetData                                                                       |          1 |         13 |          0 |          2 |         15 |
| client/src/features/Login                                                                         |          1 |         31 |          0 |          2 |         33 |
| client/src/features/Logout                                                                        |          1 |          4 |          0 |          1 |          5 |
| client/src/features/Registration                                                                  |          1 |         29 |          0 |          2 |         31 |
| client/src/pages                                                                                  |         10 |        166 |          2 |         38 |        206 |
| client/src/pages/Dashboard                                                                        |          2 |         34 |          1 |          9 |         44 |
| client/src/pages/Dashboard (Files)                                                                |          1 |         16 |          1 |          6 |         23 |
| client/src/pages/Dashboard/ui                                                                     |          1 |         18 |          0 |          3 |         21 |
| client/src/pages/Error404                                                                         |          1 |          9 |          0 |          3 |         12 |
| client/src/pages/Login                                                                            |          1 |         10 |          0 |          2 |         12 |
| client/src/pages/Main                                                                             |          2 |         28 |          0 |          9 |         37 |
| client/src/pages/Main (Files)                                                                     |          1 |         14 |          0 |          4 |         18 |
| client/src/pages/Main/ui                                                                          |          1 |         14 |          0 |          5 |         19 |
| client/src/pages/Projects                                                                         |          2 |         66 |          1 |         11 |         78 |
| client/src/pages/Projects (Files)                                                                 |          1 |         26 |          1 |          4 |         31 |
| client/src/pages/Projects/ui                                                                      |          1 |         40 |          0 |          7 |         47 |
| client/src/pages/Register                                                                         |          1 |         10 |          0 |          2 |         12 |
| client/src/pages/Tutorial                                                                         |          1 |          9 |          0 |          2 |         11 |
| client/src/shared                                                                                 |         14 |        248 |         68 |         68 |        384 |
| client/src/shared/AuthForm                                                                        |          3 |         27 |          0 |          7 |         34 |
| client/src/shared/AuthForm (Files)                                                                |          2 |          8 |          0 |          4 |         12 |
| client/src/shared/AuthForm/ui                                                                     |          1 |         19 |          0 |          3 |         22 |
| client/src/shared/Button                                                                          |          3 |         57 |          0 |         13 |         70 |
| client/src/shared/Input                                                                           |          3 |         86 |          0 |         15 |        101 |
| client/src/shared/WidgetContainer                                                                 |          2 |         17 |          0 |          3 |         20 |
| client/src/shared/api                                                                             |          3 |         61 |         68 |         30 |        159 |
| client/src/shared/api (Files)                                                                     |          1 |         50 |         68 |         29 |        147 |
| client/src/shared/api/model                                                                       |          2 |         11 |          0 |          1 |         12 |
| client/src/widgets                                                                                |          6 |        338 |          2 |         44 |        384 |
| client/src/widgets/Header                                                                         |          2 |         46 |          2 |          8 |         56 |
| client/src/widgets/Header (Files)                                                                 |          1 |          5 |          2 |          2 |          9 |
| client/src/widgets/Header/ui                                                                      |          1 |         41 |          0 |          6 |         47 |
| client/src/widgets/LoginForm                                                                      |          1 |         61 |          0 |          9 |         70 |
| client/src/widgets/RegisterForm                                                                   |          1 |         82 |          0 |         11 |         93 |
| client/src/widgets/Sidebar                                                                        |          2 |        149 |          0 |         16 |        165 |
| client/src/widgets/Sidebar (Files)                                                                |          1 |        108 |          0 |          6 |        114 |
| client/src/widgets/Sidebar/ui                                                                     |          1 |         41 |          0 |         10 |         51 |
| server                                                                                            |         10 |      2,821 |         17 |         44 |      2,882 |
| server (Files)                                                                                    |          4 |      2,634 |          5 |          9 |      2,648 |
| server/database                                                                                   |          1 |         16 |          1 |          3 |         20 |
| server/middleware                                                                                 |          2 |         29 |          0 |          8 |         37 |
| server/routes                                                                                     |          2 |        133 |         11 |         22 |        166 |
| server/utils                                                                                      |          1 |          9 |          0 |          2 |         11 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                          | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/pavel/Documents/react-landing/client/.eslintrc.cjs                                         | JavaScript         |         18 |          0 |          1 |         19 |
| /Users/pavel/Documents/react-landing/client/.vite/deps/_metadata.json                             | JSON               |         31 |          0 |          0 |         31 |
| /Users/pavel/Documents/react-landing/client/.vite/deps/chunk-XFZ2DVVZ.js                          | JavaScript         |      1,811 |         93 |          4 |      1,908 |
| /Users/pavel/Documents/react-landing/client/.vite/deps/package.json                               | JSON               |          3 |          0 |          1 |          4 |
| /Users/pavel/Documents/react-landing/client/.vite/deps/react-dom_client.js                        | JavaScript         |     21,287 |        347 |          6 |     21,640 |
| /Users/pavel/Documents/react-landing/client/.vite/deps/react.js                                   | JavaScript         |          4 |          1 |          1 |          6 |
| /Users/pavel/Documents/react-landing/client/.vite/deps/react_jsx-dev-runtime.js                   | JavaScript         |        871 |         23 |          3 |        897 |
